1743408331.017617 server started (27176): version 3.5a, socket /private/tmp/tmux-502/test, protocol 8
1743408331.017675 on Darwin 24.3.0 Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:16 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T6000
1743408331.017686 using libevent 2.1.12-stable select
1743408331.017699 using utf8proc 2.10.0
1743408331.017707 using ncurses 6.5 20240427
1743408331.163025 peer 0x120020000 message 105
1743408331.163028 client 0x12c80f000 IDENTIFY_ENVIRON TERM=xterm-kitty
1743408331.163030 peer 0x120020000 message 105
1743408331.163032 client 0x12c80f000 IDENTIFY_ENVIRON USER=shemishtamesh
1743408331.163034 peer 0x120020000 message 105
1743408331.163037 client 0x12c80f000 IDENTIFY_ENVIRON HOMEBREW_CELLAR=/opt/homebrew/Cellar
1743408331.163039 peer 0x120020000 message 105
1743408331.163042 client 0x12c80f000 IDENTIFY_ENVIRON MANPAGER=nvim +Man!
1743408331.163044 peer 0x120020000 message 105
1743408331.163046 client 0x12c80f000 IDENTIFY_ENVIRON SHLVL=3
1743408331.163048 peer 0x120020000 message 105
1743408331.163051 client 0x12c80f000 IDENTIFY_ENVIRON __HM_ZSH_SESS_VARS_SOURCED=1
1743408331.163053 peer 0x120020000 message 105
1743408331.163055 client 0x12c80f000 IDENTIFY_ENVIRON PAGER=less -R
1743408331.163058 peer 0x120020000 message 105
1743408331.163060 client 0x12c80f000 IDENTIFY_ENVIRON HOMEBREW_REPOSITORY=/opt/homebrew
1743408331.163062 peer 0x120020000 message 105
1743408331.163065 client 0x12c80f000 IDENTIFY_ENVIRON XPC_SERVICE_NAME=0
1743408331.163067 peer 0x120020000 message 105
1743408331.163070 client 0x12c80f000 IDENTIFY_ENVIRON TERMINFO_DIRS=/Users/shemishtamesh/.nix-profile/share/terminfo:/run/current-system/sw/share/terminfo:/nix/var/nix/profiles/default/share/terminfo:/usr/share/terminfo
1743408331.163073 peer 0x120020000 message 105
1743408331.163075 client 0x12c80f000 IDENTIFY_ENVIRON KITTY_LISTEN_ON=unix:/tmp/kitty-665
1743408331.163077 peer 0x120020000 message 105
1743408331.163081 client 0x12c80f000 IDENTIFY_ENVIRON XDG_DATA_DIRS=/Users/shemishtamesh/.nix-profile/share:/run/current-system/sw/share:/nix/var/nix/profiles/default/share
1743408331.163083 peer 0x120020000 message 105
1743408331.163092 client 0x12c80f000 IDENTIFY_ENVIRON PATH=/opt/homebrew/bin:/opt/homebrew/sbin:/Users/shemishtamesh/.nix-profile/bin:/run/current-system/sw/bin:/nix/var/nix/profiles/default/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/shemishtamesh/.zsh/plugins/vi-mode
1743408331.163095 peer 0x120020000 message 105
1743408331.163107 client 0x12c80f000 IDENTIFY_ENVIRON FZF_DEFAULT_OPTS=--color bg:#000000,bg+:#242422,fg:#918f88,fg+:#d9d7cc,header:#76abde,hl:#76abde,hl+:#76abde,info:#dfdf96,marker:#a6a5de,pointer:#a6a5de,prompt:#dfdf96,spinner:#a6a5de
1743408331.163109 peer 0x120020000 message 105
1743408331.163112 client 0x12c80f000 IDENTIFY_ENVIRON KITTY_INSTALLATION_DIR=/Applications/kitty.app/Contents/Resources/kitty
1743408331.163114 peer 0x120020000 message 105
1743408331.163117 client 0x12c80f000 IDENTIFY_ENVIRON __CF_USER_TEXT_ENCODING=0x1F6:0x0:0x0
1743408331.163119 peer 0x120020000 message 105
1743408331.163122 client 0x12c80f000 IDENTIFY_ENVIRON _=/Users/shemishtamesh/.nix-profile/bin/tmux
1743408331.163124 peer 0x120020000 message 106
1743408331.163126 client 0x12c80f000 name is client-27201
1743408331.163130 peer 0x120020000 message 200
1743408331.163133 cmd_unpack_argv: argv[0]=bind-key
1743408331.163135 cmd_unpack_argv: argv[1]=-T
1743408331.163137 cmd_unpack_argv: argv[2]=copy-mode-vi
1743408331.163139 cmd_unpack_argv: argv[3]=C-k
1743408331.163141 cmd_unpack_argv: argv[4]=select-pane
1743408331.163143 cmd_unpack_argv: argv[5]=-U
1743408331.163147 cmd_parse_build_commands 0:0: bind-key
1743408331.163149 cmd_parse_build_commands 0:1: -T
1743408331.163151 cmd_parse_build_commands 0:2: copy-mode-vi
1743408331.163153 cmd_parse_build_commands 0:3: C-k
1743408331.163155 cmd_parse_build_commands 0:4: select-pane
1743408331.163157 cmd_parse_build_commands 0:5: -U
1743408331.163161 args_parse_flags: next -T
1743408331.163164 args_parse_flag_argument: -T = copy-mode-vi
1743408331.163166 args_parse_flags: next C-k
1743408331.163168 args_parse: flags end at 3 of 6
1743408331.163170 args_parse: 3 = C-k (type STRING)
1743408331.163173 args_parse: 4 = select-pane (type STRING)
1743408331.163175 args_parse: 5 = -U (type STRING)
1743408331.163182 cmd_parse_build_commands: bind-key -T copy-mode-vi C-k select-pane -U
1743408331.163186 cmdq_get_command: [bind-key/0x12d0049c0] group 2972
1743408331.163189 cmdq_append <client-27201>: [bind-key/0x12d0049c0]
1743408331.163192 cmdq_append <client-27201>: [server_client_command_done/0x12d004b30]
1743408331.163194 cmdq_next <global>: waiting
1743408331.163196 cmdq_next </dev/ttys000>: waiting
1743408331.163198 cmdq_next <client-27201>: enter
1743408331.163201 cmdq_next <client-27201>: [bind-key/0x12d0049c0] (0), flags 0
1743408331.163207 cmdq_fire_command <client-27201>: (2972) bind-key -T copy-mode-vi C-k select-pane -U
1743408331.163209 cmd_find_best_session: 0 sessions to try
1743408331.163212 cmd_find_current_client: no target, return 0x0
1743408331.163214 cmd_find_best_session: 0 sessions to try
1743408331.163216 cmd_find_best_session: 0 sessions to try
1743408331.163219 cmd_parse_build_commands 0:0: select-pane
1743408331.163221 cmd_parse_build_commands 0:1: -U
1743408331.163225 args_parse_flags: next -U
1743408331.163227 args_parse_flags: -U
1743408331.163229 args_parse: flags end at 2 of 2
1743408331.163233 cmd_parse_build_commands: select-pane -U
1743408331.163237 key_bindings_add: 0x20000000006b C-k = select-pane -U
1743408331.163240 cmd_find_best_session: 0 sessions to try
1743408331.163242 unref client 0x12c80f000 (3 references)
1743408331.163246 cmdq_next <client-27201>: [server_client_command_done/0x12d004b30] (1), flags 0
1743408331.163248 unref client 0x12c80f000 (2 references)
1743408331.163250 cmdq_next <client-27201>: exit (empty)
1743408331.163252 cmdq_next <global>: waiting
1743408331.163255 cmdq_next </dev/ttys000>: waiting
1743408331.163257 cmdq_next <client-27201>: empty
1743408331.163259 sending message 203 to peer 0x120020000 (4 bytes)
1743408331.163266 cmdq_next <global>: waiting
1743408331.163268 cmdq_next </dev/ttys000>: waiting
1743408331.163271 cmdq_next <client-27201>: empty
1743408331.163455 lost client 0x12c80f000
1743408331.163472 remove peer 0x120020000
1743408331.163479 unref client 0x12c80f000 (1 references)
1743408331.163483 free client 0x12c80f000 (0 references)
1743408331.163486 cmdq_next <global>: waiting
1743408331.163488 cmdq_next </dev/ttys000>: waiting
1743408331.168189 add peer 0x120020000: 11 (0x12c80f000)
1743408331.168202 new client 0x12c80f000
1743408331.168205 cmdq_next <global>: waiting
1743408331.168207 cmdq_next </dev/ttys000>: waiting
1743408331.168239 peer 0x120020000 message 111
1743408331.168244 client 0x12c80f000 IDENTIFY_LONGFLAGS 0x10000
1743408331.168247 peer 0x120020000 message 111
1743408331.168250 client 0x12c80f000 IDENTIFY_LONGFLAGS 0x10000
1743408331.168252 peer 0x120020000 message 101
1743408331.168254 client 0x12c80f000 IDENTIFY_TERM xterm-kitty
1743408331.168257 peer 0x120020000 message 109
1743408331.168259 client 0x12c80f000 IDENTIFY_FEATURES 
1743408331.168261 peer 0x120020000 message 102
1743408331.168263 client 0x12c80f000 IDENTIFY_TTYNAME 
1743408331.168266 peer 0x120020000 message 108
1743408331.168273 client 0x12c80f000 IDENTIFY_CWD /Users/shemishtamesh/.config/system-flake
1743408331.168276 cmdq_next <global>: waiting
1743408331.168278 cmdq_next </dev/ttys000>: waiting
1743408331.168284 peer 0x120020000 message 104
1743408331.168286 client 0x12c80f000 IDENTIFY_STDIN 12
1743408331.168289 cmdq_next <global>: waiting
1743408331.168291 cmdq_next </dev/ttys000>: waiting
1743408331.168296 peer 0x120020000 message 110
1743408331.168298 client 0x12c80f000 IDENTIFY_STDOUT 13
1743408331.168301 peer 0x120020000 message 107
1743408331.168303 client 0x12c80f000 IDENTIFY_CLIENTPID 27202
1743408331.168305 peer 0x120020000 message 105
1743408331.168308 client 0x12c80f000 IDENTIFY_ENVIRON SHELL=/bin/sh
1743408331.168310 peer 0x120020000 message 105
1743408331.168312 client 0x12c80f000 IDENTIFY_ENVIRON WINDOWID=872
1743408331.168315 peer 0x120020000 message 105
1743408331.168317 client 0x12c80f000 IDENTIFY_ENVIRON COLORTERM=truecolor
1743408331.168321 peer 0x120020000 message 105
1743408331.168324 client 0x12c80f000 IDENTIFY_ENVIRON __HM_SESS_VARS_SOURCED=1
1743408331.168326 peer 0x120020000 message 105
1743408331.168330 client 0x12c80f000 IDENTIFY_ENVIRON XDG_CONFIG_DIRS=/Users/shemishtamesh/.nix-profile/etc/xdg:/run/current-system/sw/etc/xdg:/nix/var/nix/profiles/default/etc/xdg
1743408331.168332 peer 0x120020000 message 105
1743408331.168335 client 0x12c80f000 IDENTIFY_ENVIRON XPC_FLAGS=0x0
1743408331.168337 peer 0x120020000 message 105
1743408331.168340 client 0x12c80f000 IDENTIFY_ENVIRON TMUX=/private/tmp/tmux-502/test,27176,-1
1743408331.168342 peer 0x120020000 message 105
1743408331.168344 client 0x12c80f000 IDENTIFY_ENVIRON HISTSIZE=100000
1743408331.168346 peer 0x120020000 message 105
1743408331.168349 client 0x12c80f000 IDENTIFY_ENVIRON __CFBundleIdentifier=net.kovidgoyal.kitty
1743408331.168351 peer 0x120020000 message 105
1743408331.168354 client 0x12c80f000 IDENTIFY_ENVIRON TMUX_FZF_LAUNCH_KEY=C-f
1743408331.168356 peer 0x120020000 message 105
1743408331.168359 client 0x12c80f000 IDENTIFY_ENVIRON SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.I8hXSXxWQu/Listeners
1743408331.168361 peer 0x120020000 message 105
1743408331.168364 client 0x12c80f000 IDENTIFY_ENVIRON HOMEBREW_PREFIX=/opt/homebrew
1743408331.168366 peer 0x120020000 message 105
1743408331.168369 client 0x12c80f000 IDENTIFY_ENVIRON KITTY_PID=665
1743408331.168371 peer 0x120020000 message 105
1743408331.168373 client 0x12c80f000 IDENTIFY_ENVIRON EDITOR=nvim
1743408331.168376 peer 0x120020000 message 105
1743408331.168378 client 0x12c80f000 IDENTIFY_ENVIRON PWD=/Users/shemishtamesh/.config/system-flake
1743408331.168380 peer 0x120020000 message 105
1743408331.168383 client 0x12c80f000 IDENTIFY_ENVIRON NIX_PROFILES=/nix/var/nix/profiles/default /run/current-system/sw /Users/shemishtamesh/.nix-profile
1743408331.168386 peer 0x120020000 message 105
1743408331.168388 client 0x12c80f000 IDENTIFY_ENVIRON LOGNAME=shemishtamesh
1743408331.168390 peer 0x120020000 message 105
1743408331.168393 client 0x12c80f000 IDENTIFY_ENVIRON MANPATH=:/Applications/kitty.app/Contents/Resources/man
1743408331.168395 peer 0x120020000 message 105
1743408331.168398 client 0x12c80f000 IDENTIFY_ENVIRON NIX_PATH=nixpkgs=flake:nixpkgs:/nix/var/nix/profiles/per-user/root/channels
1743408331.168400 peer 0x120020000 message 105
1743408331.168412 client 0x12c80f000 IDENTIFY_ENVIRON LaunchInstanceID=01EEA82D-CC43-4EBA-9630-5FDAF32B7818
1743408331.168414 peer 0x120020000 message 105
1743408331.168417 client 0x12c80f000 IDENTIFY_ENVIRON __NIX_DARWIN_SET_ENVIRONMENT_DONE=1
1743408331.168419 peer 0x120020000 message 105
1743408331.168422 client 0x12c80f000 IDENTIFY_ENVIRON KITTY_PUBLIC_KEY=1:6nn75ZUDGB%I*EX(kdU(3dvEKD&gKNd`Qdz(3^ZB
1743408331.168424 peer 0x120020000 message 105
1743408331.168427 client 0x12c80f000 IDENTIFY_ENVIRON COMMAND_MODE=unix2003
1743408331.168429 peer 0x120020000 message 105
1743408331.168431 client 0x12c80f000 IDENTIFY_ENVIRON GTK2_RC_FILES=/Users/shemishtamesh/.gtkrc-2.0
1743408331.168433 peer 0x120020000 message 105
1743408331.168436 client 0x12c80f000 IDENTIFY_ENVIRON HOME=/Users/shemishtamesh
1743408331.168438 peer 0x120020000 message 105
1743408331.168441 client 0x12c80f000 IDENTIFY_ENVIRON LANG=en_US.UTF-8
1743408331.168443 peer 0x120020000 message 105
1743408331.168445 client 0x12c80f000 IDENTIFY_ENVIRON SECURITYSESSIONID=186b2
1743408331.168447 peer 0x120020000 message 105
1743408331.168450 client 0x12c80f000 IDENTIFY_ENVIRON KEYTIMEOUT=1
1743408331.168452 peer 0x120020000 message 105
1743408331.168454 client 0x12c80f000 IDENTIFY_ENVIRON STARSHIP_SHELL=zsh
1743408331.168457 peer 0x120020000 message 105
1743408331.168459 client 0x12c80f000 IDENTIFY_ENVIRON NIX_SSL_CERT_FILE=/etc/ssl/certs/ca-certificates.crt
1743408331.168461 peer 0x120020000 message 105
1743408331.168464 client 0x12c80f000 IDENTIFY_ENVIRON KITTY_WINDOW_ID=5
1743408331.168466 peer 0x120020000 message 105
1743408331.168468 client 0x12c80f000 IDENTIFY_ENVIRON MANROFFOPT=-c
1743408331.168470 peer 0x120020000 message 105
1743408331.168473 client 0x12c80f000 IDENTIFY_ENVIRON TMPDIR=/var/folders/_3/zw5c7_b92xz0kd6j1v9p9f6h0000gp/T/
1743408331.168475 peer 0x120020000 message 105
1743408331.168478 client 0x12c80f000 IDENTIFY_ENVIRON SAVEHIST=100000
1743408331.168480 peer 0x120020000 message 105
1743408331.168483 client 0x12c80f000 IDENTIFY_ENVIRON resurrect_dir=/Users/shemishtamesh/.local/share/tmux/resurrect
1743408331.168485 peer 0x120020000 message 105
1743408331.168488 client 0x12c80f000 IDENTIFY_ENVIRON STARSHIP_SESSION_KEY=8809172824985868
1743408331.168490 peer 0x120020000 message 105
1743408331.168492 client 0x12c80f000 IDENTIFY_ENVIRON NIX_USER_PROFILE_DIR=/nix/var/nix/profiles/per-user/shemishtamesh
1743408331.168495 peer 0x120020000 message 105
1743408331.168497 client 0x12c80f000 IDENTIFY_ENVIRON INFOPATH=/opt/homebrew/share/info:
1743408331.168499 peer 0x120020000 message 105
1743408331.168502 client 0x12c80f000 IDENTIFY_ENVIRON MANWIDTH=999
1743408331.168504 peer 0x120020000 message 105
1743408331.168507 client 0x12c80f000 IDENTIFY_ENVIRON TERMINFO=/Applications/kitty.app/Contents/Resources/kitty/terminfo
1743408331.168509 peer 0x120020000 message 105
1743408331.168512 client 0x12c80f000 IDENTIFY_ENVIRON TERM=xterm-kitty
1743408331.168514 peer 0x120020000 message 105
1743408331.168516 client 0x12c80f000 IDENTIFY_ENVIRON USER=shemishtamesh
1743408331.168518 peer 0x120020000 message 105
1743408331.168521 client 0x12c80f000 IDENTIFY_ENVIRON HOMEBREW_CELLAR=/opt/homebrew/Cellar
1743408331.168523 peer 0x120020000 message 105
1743408331.168526 client 0x12c80f000 IDENTIFY_ENVIRON MANPAGER=nvim +Man!
1743408331.168528 peer 0x120020000 message 105
1743408331.168530 client 0x12c80f000 IDENTIFY_ENVIRON SHLVL=3
1743408331.168533 peer 0x120020000 message 105
1743408331.168535 client 0x12c80f000 IDENTIFY_ENVIRON __HM_ZSH_SESS_VARS_SOURCED=1
1743408331.168537 peer 0x120020000 message 105
1743408331.168540 client 0x12c80f000 IDENTIFY_ENVIRON PAGER=less -R
1743408331.168542 peer 0x120020000 message 105
1743408331.168545 client 0x12c80f000 IDENTIFY_ENVIRON HOMEBREW_REPOSITORY=/opt/homebrew
1743408331.168547 peer 0x120020000 message 105
1743408331.168549 client 0x12c80f000 IDENTIFY_ENVIRON XPC_SERVICE_NAME=0
1743408331.168551 peer 0x120020000 message 105
1743408331.168555 client 0x12c80f000 IDENTIFY_ENVIRON TERMINFO_DIRS=/Users/shemishtamesh/.nix-profile/share/terminfo:/run/current-system/sw/share/terminfo:/nix/var/nix/profiles/default/share/terminfo:/usr/share/terminfo
1743408331.168560 peer 0x120020000 message 105
1743408331.168563 client 0x12c80f000 IDENTIFY_ENVIRON KITTY_LISTEN_ON=unix:/tmp/kitty-665
1743408331.168565 peer 0x120020000 message 105
1743408331.168568 client 0x12c80f000 IDENTIFY_ENVIRON XDG_DATA_DIRS=/Users/shemishtamesh/.nix-profile/share:/run/current-system/sw/share:/nix/var/nix/profiles/default/share
1743408331.168571 peer 0x120020000 message 105
1743408331.168575 client 0x12c80f000 IDENTIFY_ENVIRON PATH=/opt/homebrew/bin:/opt/homebrew/sbin:/Users/shemishtamesh/.nix-profile/bin:/run/current-system/sw/bin:/nix/var/nix/profiles/default/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/shemishtamesh/.zsh/plugins/vi-mode
1743408331.168577 peer 0x120020000 message 105
1743408331.168581 client 0x12c80f000 IDENTIFY_ENVIRON FZF_DEFAULT_OPTS=--color bg:#000000,bg+:#242422,fg:#918f88,fg+:#d9d7cc,header:#76abde,hl:#76abde,hl+:#76abde,info:#dfdf96,marker:#a6a5de,pointer:#a6a5de,prompt:#dfdf96,spinner:#a6a5de
1743408331.168583 peer 0x120020000 message 105
1743408331.168586 client 0x12c80f000 IDENTIFY_ENVIRON KITTY_INSTALLATION_DIR=/Applications/kitty.app/Contents/Resources/kitty
1743408331.168588 peer 0x120020000 message 105
1743408331.168591 client 0x12c80f000 IDENTIFY_ENVIRON __CF_USER_TEXT_ENCODING=0x1F6:0x0:0x0
1743408331.168593 peer 0x120020000 message 105
1743408331.168596 client 0x12c80f000 IDENTIFY_ENVIRON _=/Users/shemishtamesh/.nix-profile/bin/tmux
1743408331.168598 peer 0x120020000 message 106
1743408331.168600 client 0x12c80f000 name is client-27202
1743408331.168603 peer 0x120020000 message 200
1743408331.168606 cmd_unpack_argv: argv[0]=bind-key
1743408331.168609 cmd_unpack_argv: argv[1]=-T
1743408331.168611 cmd_unpack_argv: argv[2]=copy-mode-vi
1743408331.168613 cmd_unpack_argv: argv[3]=C-l
1743408331.168615 cmd_unpack_argv: argv[4]=select-pane
1743408331.168617 cmd_unpack_argv: argv[5]=-R
1743408331.168620 cmd_parse_build_commands 0:0: bind-key
1743408331.168623 cmd_parse_build_commands 0:1: -T
1743408331.168625 cmd_parse_build_commands 0:2: copy-mode-vi
1743408331.168627 cmd_parse_build_commands 0:3: C-l
1743408331.168629 cmd_parse_build_commands 0:4: select-pane
1743408331.168631 cmd_parse_build_commands 0:5: -R
1743408331.168634 args_parse_flags: next -T
1743408331.168637 args_parse_flag_argument: -T = copy-mode-vi
1743408331.168639 args_parse_flags: next C-l
1743408331.168641 args_parse: flags end at 3 of 6
1743408331.168643 args_parse: 3 = C-l (type STRING)
1743408331.168646 args_parse: 4 = select-pane (type STRING)
1743408331.168648 args_parse: 5 = -R (type STRING)
1743408331.168655 cmd_parse_build_commands: bind-key -T copy-mode-vi C-l select-pane -R
1743408331.168659 cmdq_get_command: [bind-key/0x12d0047e0] group 2980
1743408331.168662 cmdq_append <client-27202>: [bind-key/0x12d0047e0]
1743408331.168664 cmdq_append <client-27202>: [server_client_command_done/0x12d007c40]
1743408331.168667 cmdq_next <global>: waiting
1743408331.168669 cmdq_next </dev/ttys000>: waiting
1743408331.168671 cmdq_next <client-27202>: enter
1743408331.168674 cmdq_next <client-27202>: [bind-key/0x12d0047e0] (0), flags 0
1743408331.168679 cmdq_fire_command <client-27202>: (2980) bind-key -T copy-mode-vi C-l select-pane -R
1743408331.168682 cmd_find_best_session: 0 sessions to try
1743408331.168684 cmd_find_current_client: no target, return 0x0
1743408331.168686 cmd_find_best_session: 0 sessions to try
1743408331.168688 cmd_find_best_session: 0 sessions to try
1743408331.168691 cmd_parse_build_commands 0:0: select-pane
1743408331.168693 cmd_parse_build_commands 0:1: -R
1743408331.168697 args_parse_flags: next -R
1743408331.168699 args_parse_flags: -R
1743408331.168701 args_parse: flags end at 2 of 2
1743408331.168704 cmd_parse_build_commands: select-pane -R
1743408331.168709 key_bindings_add: 0x20000000006c C-l = select-pane -R
1743408331.168711 cmd_find_best_session: 0 sessions to try
1743408331.168713 unref client 0x12c80f000 (3 references)
1743408331.168717 cmdq_next <client-27202>: [server_client_command_done/0x12d007c40] (1), flags 0
1743408331.168726 unref client 0x12c80f000 (2 references)
1743408331.168728 cmdq_next <client-27202>: exit (empty)
1743408331.168730 cmdq_next <global>: waiting
1743408331.168733 cmdq_next </dev/ttys000>: waiting
1743408331.168735 cmdq_next <client-27202>: empty
1743408331.168737 sending message 203 to peer 0x120020000 (4 bytes)
1743408331.168747 cmdq_next <global>: waiting
1743408331.168750 cmdq_next </dev/ttys000>: waiting
1743408331.168752 cmdq_next <client-27202>: empty
1743408331.168923 lost client 0x12c80f000
1743408331.168938 remove peer 0x120020000
1743408331.168944 unref client 0x12c80f000 (1 references)
1743408331.168947 free client 0x12c80f000 (0 references)
1743408331.168950 cmdq_next <global>: waiting
1743408331.168953 cmdq_next </dev/ttys000>: waiting
1743408331.173335 add peer 0x130048000: 11 (0x12c00e400)
1743408331.173345 new client 0x12c00e400
1743408331.173349 cmdq_next <global>: waiting
1743408331.173352 cmdq_next </dev/ttys000>: waiting
1743408331.173390 peer 0x130048000 message 111
1743408331.173395 client 0x12c00e400 IDENTIFY_LONGFLAGS 0x10000
1743408331.173397 peer 0x130048000 message 111
1743408331.173400 client 0x12c00e400 IDENTIFY_LONGFLAGS 0x10000
1743408331.173402 peer 0x130048000 message 101
1743408331.173405 client 0x12c00e400 IDENTIFY_TERM xterm-kitty
1743408331.173407 peer 0x130048000 message 109
1743408331.173409 client 0x12c00e400 IDENTIFY_FEATURES 
1743408331.173412 peer 0x130048000 message 102
1743408331.173414 client 0x12c00e400 IDENTIFY_TTYNAME 
1743408331.173416 peer 0x130048000 message 108
1743408331.173424 client 0x12c00e400 IDENTIFY_CWD /Users/shemishtamesh/.config/system-flake
1743408331.173427 cmdq_next <global>: waiting
1743408331.173429 cmdq_next </dev/ttys000>: waiting
1743408331.173434 peer 0x130048000 message 104
1743408331.173437 client 0x12c00e400 IDENTIFY_STDIN 12
1743408331.173439 cmdq_next <global>: waiting
1743408331.173441 cmdq_next </dev/ttys000>: waiting
1743408331.173446 peer 0x130048000 message 110
1743408331.173448 client 0x12c00e400 IDENTIFY_STDOUT 13
1743408331.173450 peer 0x130048000 message 107
1743408331.173452 client 0x12c00e400 IDENTIFY_CLIENTPID 27203
1743408331.173455 peer 0x130048000 message 105
1743408331.173457 client 0x12c00e400 IDENTIFY_ENVIRON SHELL=/bin/sh
1743408331.173460 peer 0x130048000 message 105
1743408331.173462 client 0x12c00e400 IDENTIFY_ENVIRON WINDOWID=872
1743408331.173464 peer 0x130048000 message 105
1743408331.173467 client 0x12c00e400 IDENTIFY_ENVIRON COLORTERM=truecolor
1743408331.173469 peer 0x130048000 message 105
1743408331.173472 client 0x12c00e400 IDENTIFY_ENVIRON __HM_SESS_VARS_SOURCED=1
1743408331.173475 peer 0x130048000 message 105
1743408331.173478 client 0x12c00e400 IDENTIFY_ENVIRON XDG_CONFIG_DIRS=/Users/shemishtamesh/.nix-profile/etc/xdg:/run/current-system/sw/etc/xdg:/nix/var/nix/profiles/default/etc/xdg
1743408331.173481 peer 0x130048000 message 105
1743408331.173483 client 0x12c00e400 IDENTIFY_ENVIRON XPC_FLAGS=0x0
1743408331.173485 peer 0x130048000 message 105
1743408331.173488 client 0x12c00e400 IDENTIFY_ENVIRON TMUX=/private/tmp/tmux-502/test,27176,-1
1743408331.173491 peer 0x130048000 message 105
1743408331.173493 client 0x12c00e400 IDENTIFY_ENVIRON HISTSIZE=100000
1743408331.173495 peer 0x130048000 message 105
1743408331.173498 client 0x12c00e400 IDENTIFY_ENVIRON __CFBundleIdentifier=net.kovidgoyal.kitty
1743408331.173500 peer 0x130048000 message 105
1743408331.173503 client 0x12c00e400 IDENTIFY_ENVIRON TMUX_FZF_LAUNCH_KEY=C-f
1743408331.173505 peer 0x130048000 message 105
1743408331.173508 client 0x12c00e400 IDENTIFY_ENVIRON SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.I8hXSXxWQu/Listeners
1743408331.173510 peer 0x130048000 message 105
1743408331.173513 client 0x12c00e400 IDENTIFY_ENVIRON HOMEBREW_PREFIX=/opt/homebrew
1743408331.173515 peer 0x130048000 message 105
1743408331.173518 client 0x12c00e400 IDENTIFY_ENVIRON KITTY_PID=665
1743408331.173520 peer 0x130048000 message 105
1743408331.173523 client 0x12c00e400 IDENTIFY_ENVIRON EDITOR=nvim
1743408331.173531 peer 0x130048000 message 105
1743408331.173534 client 0x12c00e400 IDENTIFY_ENVIRON PWD=/Users/shemishtamesh/.config/system-flake
1743408331.173536 peer 0x130048000 message 105
1743408331.173539 client 0x12c00e400 IDENTIFY_ENVIRON NIX_PROFILES=/nix/var/nix/profiles/default /run/current-system/sw /Users/shemishtamesh/.nix-profile
1743408331.173542 peer 0x130048000 message 105
1743408331.173544 client 0x12c00e400 IDENTIFY_ENVIRON LOGNAME=shemishtamesh
1743408331.173546 peer 0x130048000 message 105
1743408331.173549 client 0x12c00e400 IDENTIFY_ENVIRON MANPATH=:/Applications/kitty.app/Contents/Resources/man
1743408331.173551 peer 0x130048000 message 105
1743408331.173554 client 0x12c00e400 IDENTIFY_ENVIRON NIX_PATH=nixpkgs=flake:nixpkgs:/nix/var/nix/profiles/per-user/root/channels
1743408331.173556 peer 0x130048000 message 105
1743408331.173559 client 0x12c00e400 IDENTIFY_ENVIRON LaunchInstanceID=01EEA82D-CC43-4EBA-9630-5FDAF32B7818
1743408331.173561 peer 0x130048000 message 105
1743408331.173564 client 0x12c00e400 IDENTIFY_ENVIRON __NIX_DARWIN_SET_ENVIRONMENT_DONE=1
1743408331.173566 peer 0x130048000 message 105
1743408331.173569 client 0x12c00e400 IDENTIFY_ENVIRON KITTY_PUBLIC_KEY=1:6nn75ZUDGB%I*EX(kdU(3dvEKD&gKNd`Qdz(3^ZB
1743408331.173572 peer 0x130048000 message 105
1743408331.173574 client 0x12c00e400 IDENTIFY_ENVIRON COMMAND_MODE=unix2003
1743408331.173576 peer 0x130048000 message 105
1743408331.173579 client 0x12c00e400 IDENTIFY_ENVIRON GTK2_RC_FILES=/Users/shemishtamesh/.gtkrc-2.0
1743408331.173581 peer 0x130048000 message 105
1743408331.173584 client 0x12c00e400 IDENTIFY_ENVIRON HOME=/Users/shemishtamesh
1743408331.173586 peer 0x130048000 message 105
1743408331.173588 client 0x12c00e400 IDENTIFY_ENVIRON LANG=en_US.UTF-8
1743408331.173591 peer 0x130048000 message 105
1743408331.173593 client 0x12c00e400 IDENTIFY_ENVIRON SECURITYSESSIONID=186b2
1743408331.173595 peer 0x130048000 message 105
1743408331.173598 client 0x12c00e400 IDENTIFY_ENVIRON KEYTIMEOUT=1
1743408331.173600 peer 0x130048000 message 105
1743408331.173603 client 0x12c00e400 IDENTIFY_ENVIRON STARSHIP_SHELL=zsh
1743408331.173605 peer 0x130048000 message 105
1743408331.173608 client 0x12c00e400 IDENTIFY_ENVIRON NIX_SSL_CERT_FILE=/etc/ssl/certs/ca-certificates.crt
1743408331.173610 peer 0x130048000 message 105
1743408331.173612 client 0x12c00e400 IDENTIFY_ENVIRON KITTY_WINDOW_ID=5
1743408331.173614 peer 0x130048000 message 105
1743408331.173617 client 0x12c00e400 IDENTIFY_ENVIRON MANROFFOPT=-c
1743408331.173619 peer 0x130048000 message 105
1743408331.173622 client 0x12c00e400 IDENTIFY_ENVIRON TMPDIR=/var/folders/_3/zw5c7_b92xz0kd6j1v9p9f6h0000gp/T/
1743408331.173624 peer 0x130048000 message 105
